slot,input_excel_row,template_label_cell,original_label,corrected_label
1,2,A2,0:10-0:20,00:00-00:10
2,3,A3,0:20-0:30,00:10-00:20
3,4,A4,0:30-0:40,00:20-00:30
4,5,A5,0:40-0:50,00:30-00:40
5,6,A6,0:50-1:00,00:40-00:50
6,7,A7,1:00-1:10,00:50-01:00
7,8,A8,1:10-1:20,01:00-01:10
8,9,A9,1:20-1:30,01:10-01:20
9,10,A10,1:30-1:40,01:20-01:30
10,11,A11,1:40-1:50,01:30-01:40
11,12,A12,1:50-2:00,01:40-01:50
12,13,A13,2:00-2:10,01:50-02:00
13,14,A14,2:10-2:20,02:00-02:10
14,15,A15,2:20-2:30,02:10-02:20
15,16,A16,2:30-2:40,02:20-02:30
16,17,A17,2:40-2:50,02:30-02:40
17,18,A18,2:50-3:00,02:40-02:50
18,19,A19,3:00-3:10,02:50-03:00
19,20,A20,3:10-3:20,03:00-03:10
20,21,A21,3:20-3:30,03:10-03:20
21,22,A22,3:30-3:40,03:20-03:30
22,23,A23,3:40-3:50,03:30-03:40
23,24,A24,3:50-4:00,03:40-03:50
24,25,A25,4:00-4:10,03:50-04:00
25,26,A26,4:10-4:20,04:00-04:10
26,27,A27,4:20-4:30,04:10-04:20
27,28,A28,4:30-4:40,04:20-04:30
28,29,A29,4:40-4:50,04:30-04:40
29,30,A30,4:50-5:00,04:40-04:50
30,31,A31,5:00-5:10,04:50-05:00
31,32,A32,5:10-5:20,05:00-05:10
32,33,A33,5:20-5:30,05:10-05:20
33,34,A34,5:30-5:40,05:20-05:30
34,35,A35,5:40-5:50,05:30-05:40
35,36,A36,5:50-6:00,05:40-05:50
36,37,A37,6:00-6:10,05:50-06:00
37,38,A38,6:10-6:20,06:00-06:10
38,39,A39,6:20-6:30,06:10-06:20
39,40,A40,6:30-6:40,06:20-06:30
40,41,A41,6:40-6:50,06:30-06:40
41,42,A42,6:50-7:00,06:40-06:50
42,43,A43,7:00-7:10,06:50-07:00
43,44,A44,7:10-7:20,07:00-07:10
44,45,A45,7:20-7:30,07:10-07:20
45,46,A46,7:30-7:40,07:20-07:30
46,47,A47,7:40-7:50,07:30-07:40
47,48,A48,7:50-8:00,07:40-07:50
48,49,A49,8:00-8:10,07:50-08:00
49,50,A50,8:10-8:20,08:00-08:10
50,51,A51,8:20-8:30,08:10-08:20
51,52,A52,8:30-8:40,08:20-08:30
52,53,A53,8:40-8:50,08:30-08:40
53,54,A54,8:50-9:00,08:40-08:50
54,55,A55,9:00-9:10,08:50-09:00
55,56,A56,9:10-9:20,09:00-09:10
56,57,A57,9:20-9:30,09:10-09:20
57,58,A58,9:30-9:40,09:20-09:30
58,59,A59,9:40-9:50,09:30-09:40
59,60,A60,9:50-10:00,09:40-09:50
60,61,A61,10:00-10:10,09:50-10:00
61,62,A62,10:10-10:20,10:00-10:10
62,63,A63,10:20-10:30,10:10-10:20
63,64,A64,10:30-10:40,10:20-10:30
64,65,A65,10:40-10:50,10:30-10:40
65,66,A66,10:50-11:00,10:40-10:50
66,67,A67,11:00-11:10,10:50-11:00
67,68,A68,11:10-11:20,11:00-11:10
68,69,A69,11:20-11:30,11:10-11:20
69,70,A70,11:30-11:40,11:20-11:30
70,71,A71,11:40-11:50,11:30-11:40
71,72,A72,11:50-12:00,11:40-11:50
