slot,start,end,price_yuan_per_kwh,load_kw,pv_kw,grid_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,cost_yuan
1,00:00,00:10,0.4248,3439.8466,0.0,1406.6410999999998,833.3333333333334,0.0,0.0,6000.0,6750.0,597.5411392799999
2,00:10,00:20,0.4245,3437.9792,0.0,1406.3298666666667,833.3333333333334,0.0,0.0,6750.0,7500.0,596.9870284
3,00:20,00:30,0.4269,3444.3031,0.0,1407.3838500000002,833.3333333333334,0.0,0.0,7500.0,8250.0,600.8121655650001
4,00:30,00:40,0.4272,3454.4437,0.0,1409.07395,833.3333333333334,0.0,0.0,8250.0,9000.0,601.9563914400001
5,00:40,00:50,0.4271,3458.8273,0.0,1409.8045499999998,833.3333333333334,0.0,0.0,9000.0,9750.0,602.127523305
6,00:50,01:00,0.4285,3459.8401,0.0,576.6400166666666,0.0,0.0,0.0,9750.0,9750.0,247.09024714166665
7,01:00,01:10,0.4311,3467.1582,0.0,577.8597,0.0,0.0,0.0,9750.0,9750.0,249.11531666999997
8,01:10,01:20,0.4302,3467.9632,0.0,577.9938666666667,0.0,0.0,0.0,9750.0,9750.0,248.65296144
9,01:20,01:30,0.4279,3466.9683,0.0,911.1613833333333,333.3333333333333,0.0,0.0,9750.0,10050.0,389.8859559283333
10,01:30,01:40,0.4312,3482.4927,0.0,580.41545,0.0,0.0,0.0,10050.0,10050.0,250.27514204
11,01:40,01:50,0.4333,3495.0841,0.0,582.5140166666666,0.0,0.0,0.0,10050.0,10050.0,252.40332342166667
12,01:50,02:00,0.4311,3498.4443,0.0,583.0740499999999,0.0,0.0,0.0,10050.0,10050.0,251.36322295499997
13,02:00,02:10,0.4293,3505.2295,0.0,584.2049166666666,0.0,0.0,0.0,10050.0,10050.0,250.79917072499998
14,02:10,02:20,0.4324,3512.6387,0.0,585.4397833333333,0.0,0.0,0.0,10050.0,10050.0,253.1441623133333
15,02:20,02:30,0.4367,3516.8685,0.0,586.1447499999999,0.0,0.0,0.0,10050.0,10050.0,255.96941232499995
